Region,"Amount spent (THB)",Reach,Impressions,"Facebook likes","Post engagements","Post comments","Post reactions","Post saves","Post shares","Video plays","Reporting starts","Reporting ends"
"Chon Buri",13338.96204922,520945,852867,3392,29989,25,3586,57,71,,2026-08-01,2026-08-31
Bangkok,7341.6285694,42377,138450,2791,24754,8,2391,43,39,,2026-08-01,2026-08-31
"Nakhon Ratchasima",1147.15727616,5869,22536,452,3778,,368,10,4,,2026-08-01,2026-08-31
Rayong,794.82118414,5145,16751,319,2867,2,302,2,4,,2026-08-01,2026-08-31
"Khon Kaen",621.08311118,3179,9779,235,1822,1,223,3,2,,2026-08-01,2026-08-31
"Udon Thani",523.85418961,2964,9178,204,1737,2,184,1,6,,2026-08-01,2026-08-31
Chachoengsao,294.636732,1870,6960,111,1060,,99,1,,,2026-08-01,2026-08-31
"Sakon Nakhon",378.41580275,2133,5681,144,1269,,139,2,3,,2026-08-01,2026-08-31
Chanthaburi,243.67729722,1503,4821,105,964,,108,3,1,,2026-08-01,2026-08-31
"Maha Sarakham",279.20690314,1412,4446,95,771,3,73,1,1,,2026-08-01,2026-08-31
Kalasin,280.8068854,1434,4199,111,852,2,116,1,1,,2026-08-01,2026-08-31
Unknown,0.01999978,2,4,,,,,,,,2026-08-01,2026-08-31
