Region,"Amount spent (THB)",Reach,Impressions,"Facebook likes","Post engagements","Post comments","Post reactions","Post saves","Post shares","Video plays","Reporting starts","Reporting ends"
"Chon Buri",4637.26701906,38134,66167,2422,41067,20,3771,64,72,,2026-09-01,2026-09-16
Bangkok,4450.49915289,39058,64887,2240,38947,10,3014,48,59,,2026-09-01,2026-09-16
"Nakhon Ratchasima",569.73349077,5587,9198,305,5770,1,434,9,16,,2026-09-01,2026-09-16
Rayong,450.55485239,4513,6928,247,4197,,327,5,2,,2026-09-01,2026-09-16
"Khon Kaen",275.40685347,2582,4121,162,2532,1,208,7,5,,2026-09-01,2026-09-16
"Udon Thani",257.51705786,2485,3960,131,2426,1,191,1,4,,2026-09-01,2026-09-16
"Sakon Nakhon",166.6080965,1787,2890,82,1771,2,126,4,3,,2026-09-01,2026-09-16
Chachoengsao,161.32815682,1545,2578,104,1591,1,166,2,2,,2026-09-01,2026-09-16
Chanthaburi,157.57819966,1347,2293,83,1402,1,118,3,5,,2026-09-01,2026-09-16
"Maha Sarakham",125.25856892,1271,2045,79,1270,,95,,,,2026-09-01,2026-09-16
Kalasin,126.71855224,1221,2022,64,1301,2,105,,4,,2026-09-01,2026-09-16
Unknown,0.04999943,0,1,8,9,,9,,,,2026-09-01,2026-09-16
